Reference,Alternative Reference,Application Received,Application Validated,Address,Proposal,Status,Decision,Decision Issued Date,Appeal Status,Appeal Decision
S/HOU/21/1867,PP-10431428,Sat 27 Nov 2021,Mon 29 Nov 2021,45 Kestrel Drive Covingham Swindon SN3 5DP,Erection of single storey side and rear extensions.,Application Granted,Granted Permission,Mon 24 Jan 2022,Unknown,Not Applicable
S/21/1860,PP-10412400,Fri 26 Nov 2021,Fri 03 Dec 2021,Land Adjacent To 44 Wagtail Close Covingham Swindon SN3 5BL,Change of use from public open space to domestic garden.,Unknown,Permission Refused,Thu 20 Jan 2022,Unknown,Not Applicable
S/LDP/21/1864,PP-10429527,Fri 26 Nov 2021,Fri 26 Nov 2021,46 Warrener Close Groundwell Swindon SN25 4AH,Certificate of lawfulness (Proposed) for the erection of a single storey rear extension.,Application Granted,Granted Permission,Wed 19 Jan 2022,Unknown,Not Applicable
S/HOU/21/1862,Not Applicable,Fri 26 Nov 2021,Fri 26 Nov 2021,12 Woodland View Wroughton Swindon SN4 9AB,"Conversion of garage into habitable space, erection of a detached garage and associated works.",Application Granted,Granted Permission,Fri 21 Jan 2022,Unknown,Not Applicable
S/PHOU/21/1859,Not Applicable,Thu 25 Nov 2021,Thu 25 Nov 2021,17 Rivers Way Highworth Swindon SN6 7EL,"Prior Approval Notification for the erection of a single storey rear extension measuring 3.71m (from original rear wall), 3.5m (maximum height) and 2.37m (height to eaves).",Unknown,Prior Approval not required,Tue 04 Jan 2022,Unknown,Not Applicable
S/LDP/21/1857,PP-10400206,Thu 25 Nov 2021,Thu 02 Dec 2021,1 Ilett Crescent Tadpole Garden Village Swindon SN25 2WG,Certificate of lawfulness (Proposed) for the erection of 1no. dwelling and detached double garage.,Application Granted,Granted Permission,Mon 24 Jan 2022,Unknown,Not Applicable
S/HOU/21/1840,PP-10420324,Wed 24 Nov 2021,Wed 24 Nov 2021,1 Robinscroft St. Andrews Swindon SN25 2TH,"Erection of first floor side and two storey side link extension, including additional first floor windows.",Application Granted,Granted Permission,Fri 28 Jan 2022,Unknown,Not Applicable
S/HOU/21/1841,Not Applicable,Wed 24 Nov 2021,Wed 24 Nov 2021,50 Florence Street Gorse Hill Swindon SN2 1BA,Erection of 2no. single storey rear extensions.,Application Granted,Granted Permission,Wed 19 Jan 2022,Unknown,Not Applicable
S/HOU/21/1842,PP-10421516,Wed 24 Nov 2021,Wed 24 Nov 2021,12 Edgeworth Close Westlea Swindon SN5 5WU,Erection of a single storey rear extension.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1834,PP-10402574,Tue 23 Nov 2021,Tue 23 Nov 2021,4 Vanbrugh Gate Broome Manor Swindon SN3 1NQ,Erection of two storey and single storey rear extensions.,Application Granted,Granted Permission,Fri 21 Jan 2022,Unknown,Not Applicable
S/TPO/21/1843,Not Applicable,Mon 22 Nov 2021,Mon 22 Nov 2021,Sevenfields Dental Surgery Woodcutters Mews Groundwell Swindon SN25 4AU,Works to a damaged ash tree within BOS TPO (no.1) 1987.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/LDP/21/1829,Not Applicable,Mon 22 Nov 2021,Wed 24 Nov 2021,27 Collingwood Crescent Upper Stratton Swindon SN2 7AN,Certificate of lawfulness (proposed) for the erection of 1no. rear dormer window.,Application Granted,Granted Permission,Wed 19 Jan 2022,Unknown,Not Applicable
S/PAOTH/21/1837,PP-10351392v1,Mon 22 Nov 2021,Wed 24 Nov 2021,52 Morse Street Swindon SN1 5QP,Prior approval application for change of use from Retail/Takeaway and Residential (Class E/Sui Generis/C3) to Residential (Class C3).,Unknown,Prior Approval required and given,Wed 19 Jan 2022,Unknown,Not Applicable
S/HOU/21/1821,PP-10405963,Thu 18 Nov 2021,Thu 18 Nov 2021,11 Coppice Close Woodhall Park Swindon SN2 2RB,Erection of a single storey side/rear extension.,Application Granted,Granted Permission,Thu 13 Jan 2022,Unknown,Not Applicable
S/PHOU/21/1818,PP-10404676,Thu 18 Nov 2021,Thu 18 Nov 2021,13 Swallowfield Avenue Old Walcot Swindon SN3 1DS,"Prior Approval Notification for the erection of a single storey rear extension measuring 3.0m (from original rear wall), 4.0m (maximum height) and 3.0m (height to eaves).",Unknown,Prior Approval not required,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1816,PP-10398792,Thu 18 Nov 2021,Thu 18 Nov 2021,163 Meadowcroft Stratton St Margaret Swindon SN2 7LW,Erection of a single storey side/rear extension.,Application Granted,Granted Permission,Mon 10 Jan 2022,Unknown,Not Applicable
S/HOU/21/1814,PP-10162928,Thu 18 Nov 2021,Thu 18 Nov 2021,112 Upham Road Old Walcot Swindon SN3 1DW,"Erection of two/ single storey rear and two storey side extensions, raised roof with rooflights and front canopy.",Application Granted,Granted Permission,Fri 07 Jan 2022,Unknown,Not Applicable
S/OUT/21/1831,Not Applicable,Thu 18 Nov 2021,Thu 18 Nov 2021,Land Adjacent To 20 John Herring Crescent Stratton St Margaret Swindon SN3 4JJ,Outline application for the erection of 1no. dwelling with all matters reserved.,Unknown,Permission Refused,Wed 12 Jan 2022,Unknown,Not Applicable
S/LDP/21/1806,PP-10400433,Wed 17 Nov 2021,Wed 17 Nov 2021,6 Furze Close Swindon SN5 5DB,Certificate of Lawfulness (proposed) for the erection of a single storey rear extension and conversion of part of garage into living accommodation.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/HOU/21/1805,PP-10400131,Wed 17 Nov 2021,Wed 17 Nov 2021,26 Pleydell Road Old Town Swindon SN1 4DH,Erection of a two storey side/rear extension and single storey rear extension and 1 no. front dormer window.,Application Granted,Granted Permission,Wed 26 Jan 2022,Unknown,Not Applicable
S/HOU/21/1804,PP-10399625,Wed 17 Nov 2021,Wed 17 Nov 2021,25 Darius Way Abbey Meads Swindon SN25 4XT,Erection of a single storey rear extension.,Application Granted,Granted Permission,Mon 10 Jan 2022,Unknown,Not Applicable
S/HOU/21/1812,PP-10402865,Wed 17 Nov 2021,Wed 17 Nov 2021,1 The Granary Russley Park Bishopstone Swindon SN8 2JY,Erection of a two storey side extension.,Application Granted,Granted Permission,Wed 19 Jan 2022,Unknown,Not Applicable
S/LDE/21/1807,Not Applicable,Wed 17 Nov 2021,Wed 17 Nov 2021,27 Milton Road Swindon SN1 5JA,Certificate of Lawful Development (Existing) for the change of use from offices to 8 person HMO (Sui Generis) (Previously 7 person HMO).,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/HOU/21/1826,Not Applicable,Wed 17 Nov 2021,Tue 23 Nov 2021,17 Grange Drive Stratton St Margaret Swindon SN3 4JQ,"Erection of single storey rear, side and front extensions.",Application Granted,Granted Permission,Fri 14 Jan 2022,Unknown,Not Applicable
S/TPO/21/1800,PP-10398351,Tue 16 Nov 2021,Tue 16 Nov 2021,The Globe 28 - 29 Eastcott Road Old Town Swindon SN1 3LT,Works to BOS TPO-06-2009.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1798,PP-10291230,Tue 16 Nov 2021,Fri 19 Nov 2021,8 Angelica Close Woodhall Park Swindon SN2 2TS,Erection of a two storey side/rear extension with dormer to rear.,Unknown,Permission Refused,Fri 14 Jan 2022,Unknown,Not Applicable
S/TPO/21/1802,PP-10398406,Tue 16 Nov 2021,Wed 17 Nov 2021,Blunsdon Caravan Park Main Drive Blunsdon Abbey Park Blunsdon Swindon SN25 2DU,Works to trees BOS TPO T2677 and T2678.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1810,Not Applicable,Mon 15 Nov 2021,Fri 19 Nov 2021,113 Sandringham Road Lawn Swindon SN3 1JF,Erection of a single storey rear extension and dormer window to rear.,Application Granted,Granted Permission,Wed 12 Jan 2022,Unknown,Not Applicable
S/HOU/21/1792,PP-10391674,Mon 15 Nov 2021,Mon 15 Nov 2021,17 Norman Road Gorse Hill Swindon SN2 1AZ,Erection of a detached garage/workshop,Unknown,Permission Refused,Wed 12 Jan 2022,Unknown,Not Applicable
S/TPO/21/1808,Not Applicable,Mon 15 Nov 2021,Mon 15 Nov 2021,Haydonleigh Primary School Haydon Court Drive Haydon Wick Swindon SN25 1JP,Works to trees within BOT TPO No. 2 1976.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/LDP/21/1790,PP-10391678,Sat 13 Nov 2021,Sat 13 Nov 2021,32 The Bramptons Shaw Swindon SN5 5SL,Certificate of Lawfulness (Proposed) for the erection of a single storey rear extension.,Application Granted,Granted Permission,Fri 07 Jan 2022,Unknown,Not Applicable
S/HOU/21/1785,PP-10375321,Fri 12 Nov 2021,Fri 19 Nov 2021,180 Windsor Road Lawn Swindon SN3 1LL,"Erection of a single storey rear extension, new roof to garage and erection of a single storey front extension.",Application Granted,Granted Permission,Fri 28 Jan 2022,Unknown,Not Applicable
S/TPO/21/1782,PP-10388533,Fri 12 Nov 2021,Fri 12 Nov 2021,70 Winton Road Upper Stratton Swindon SN3 4XL,Works to tree within BOSTPO-39-2010.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/LDP/21/1788,PP-10389807,Fri 12 Nov 2021,Fri 12 Nov 2021,38 Nyland Road Nythe Swindon SN3 3RD,Certificate of Lawfulness (Proposed) for the erection of a single storey side extension,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/TPO/21/1781,PP-10388514,Fri 12 Nov 2021,Fri 12 Nov 2021,10 Carlton Gate Broome Manor Swindon SN3 1NF,Works to tree within BOSTPO-55-2009.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HRN/21/1789,PP-10390535,Fri 12 Nov 2021,Fri 12 Nov 2021,Fields Adjacent To Broad Bush Blunsdon Swindon,Removal of 5no. additional hedgerows to facilitate new pipeline - revision to previous permission S/HRN/21/1158.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/LDP/21/1775,PP-10308114,Thu 11 Nov 2021,Thu 11 Nov 2021,Paramount Beckhampton Street Swindon SN1 2SB,Certificate of Lawfulness (proposed) for the replacement of cladding and render.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/ADV/21/1778,PP-10370875,Thu 11 Nov 2021,Wed 17 Nov 2021,"Units 4, 5, 7 And 8 Regent Circus Complex Victoria Road Old Town Swindon SN1 1FA",Display of 4 no. fascia signs and 4 no. projecting signs.,Application Granted,Granted Permission,Wed 12 Jan 2022,Unknown,Not Applicable
S/LDP/21/1768,PP-10381828,Wed 10 Nov 2021,Wed 10 Nov 2021,53 Standen Way St Andrews Ridge Swindon SN25 4YG,Certificate of Lawfulness (Proposed) for the erection of side dormer window and 5no. velux windows.,Application Granted,Granted Permission,Fri 07 Jan 2022,Unknown,Not Applicable
S/HOU/21/1772,PP-10383442,Wed 10 Nov 2021,Wed 10 Nov 2021,White Cottage 4 Burycroft Wanborough Swindon SN4 0AP,Erection of a single storey rear extension.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/TWC/21/1791,PP-10383530,Wed 10 Nov 2021,Wed 10 Nov 2021,St Mark's Church Church Place Railway Village Swindon,Works to various trees within a Conservation Area.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1769,PP-10382111,Wed 10 Nov 2021,Wed 10 Nov 2021,35 Castle Dore Freshbrook Swindon SN5 8PQ,Erection of a two storey rear extension.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/HOU/21/1771,PP-10377837,Wed 10 Nov 2021,Wed 10 Nov 2021,5 Exmoor Close Taw Hill Swindon SN25 1FD,Erection of a first floor/two storey side extension.,Application Granted,Granted Permission,Wed 05 Jan 2022,Unknown,Not Applicable
S/TPO/21/1767,PP-10379525,Wed 10 Nov 2021,Wed 10 Nov 2021,9 Manor Park South Marston Swindon SN3 4RR,Works to beech hedge within BOT TPO (no.5) 1983.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1786,Not Applicable,Tue 09 Nov 2021,Thu 18 Nov 2021,10 Corsham Road Penhill Swindon SN2 5EA,Erection of a single storey rear extension.,Application Granted,Granted Permission,Mon 10 Jan 2022,Unknown,Not Applicable
S/HOU/21/1761,PP-10375244,Tue 09 Nov 2021,Fri 12 Nov 2021,7 Sheen Close Grange Park Swindon SN5 6JF,Erection of a first floor side extension.,Application Granted,Granted Permission,Wed 05 Jan 2022,Unknown,Not Applicable
S/HOU/21/1762,PP-10376181,Tue 09 Nov 2021,Tue 09 Nov 2021,34 Ashbury Avenue Nythe Swindon SN3 3LY,Erection of single-storey front extension.,Application Granted,Granted Permission,Fri 07 Jan 2022,Unknown,Not Applicable
S/AMEND/21/1756,Not Applicable,Mon 08 Nov 2021,Tue 30 Nov 2021,25 Hillside Avenue Kingshill Swindon SN1 4LS,Non-Material amendment to previous Householder Planning Permission S/HOU/17/1147 - Relating to the addition of roof lights on balcony floor and french doors to first floor elevation.,Minor Amendment Approved,Minor Amendment Approved,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1750,PP-10364537,Sat 06 Nov 2021,Wed 01 Dec 2021,Fulwood 2 Hodson Road Chiseldon Swindon SN4 0LN,Erection of a single storey rear extension and single storey front and side extensions.,Application Granted,Granted Permission,Tue 25 Jan 2022,Unknown,Not Applicable
S/HOU/21/1753,Not Applicable,Fri 05 Nov 2021,Fri 05 Nov 2021,111 Morris Street Rodbourne Swindon SN2 2HS,"Erection of front and side canopy, creation of dropped kerb, rear dormer window and replacement garage.",Application Granted,Granted Permission,Fri 07 Jan 2022,Unknown,Not Applicable
S/LDP/21/1744,PP-10361751,Fri 05 Nov 2021,Fri 05 Nov 2021,140 Eastbury Way Redhouse Swindon SN25 2GX,Certificate of Lawfulness (Proposed) for the erection of a conservatory to rear.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/ADV/21/1748,PP-10369272,Fri 05 Nov 2021,Fri 05 Nov 2021,Warneford Comprehensive School Shrivenham Road Highworth Swindon SN6 7BZ,Installation of 2no. non-illuminated information signs.,Application Granted,Granted Permission,Thu 13 Jan 2022,Unknown,Not Applicable
S/21/1746,PP-10368419,Fri 05 Nov 2021,Fri 05 Nov 2021,"Units 1, 2, 3 & 5 Euroway Industrial Estate Blagrove Swindon SN5 8YW",Installation of over cladding to existing roofs.,Application Granted,Granted Permission,Mon 24 Jan 2022,Unknown,Not Applicable
S/HOU/21/1745,PP-10359333,Fri 05 Nov 2021,Fri 05 Nov 2021,93 Oxford Road Stratton St Margaret Swindon SN3 4JB,"Erection of a two storey side extension, first floor rear extension, single storey rear extension and detached outbuilding.",Application Granted,Granted Permission,Fri 14 Jan 2022,Unknown,Not Applicable
S/21/1741,PP-10366972,Thu 04 Nov 2021,Fri 12 Nov 2021,Three Trees Farm Shop The Ridgeway Chiseldon Swindon SN4 0HT,Installation of 4no rapid electric vehicle charging stations within the existing car park.,Application Granted,Granted Permission,Wed 12 Jan 2022,Unknown,Not Applicable
S/HOU/21/1729,PP-10167428,Wed 03 Nov 2021,Wed 17 Nov 2021,38 Priors Hill Wroughton Swindon SN4 0RW,Erection of a single storey rear extension and glazed canopy.,Application Granted,Granted Permission,Mon 10 Jan 2022,Unknown,Not Applicable
S/HOU/21/1731,PP-10361137,Wed 03 Nov 2021,Wed 03 Nov 2021,31 Poplar Avenue Pinehurst Swindon SN2 1RP,Erection of single storey extensions to front and rear and a two storey side extension.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/HOU/21/1720,PP-10350290,Mon 01 Nov 2021,Fri 05 Nov 2021,35 Southwold Close Oakhurst Swindon SN25 2BD,Erection of a conservatory to rear.,Application Granted,Granted Permission,Wed 05 Jan 2022,Unknown,Not Applicable
S/21/1713,PP-08454071,Wed 27 Oct 2021,Tue 09 Nov 2021,63 Swindon Road Stratton St Margaret Swindon SN3 4PU,Removal/ Demolition of front garden wall (1m. x 5m. x 0.4m.) across full width of property.,Unknown,Permission Refused,Fri 07 Jan 2022,Unknown,Not Applicable
S/21/1710,PP-10319210,Tue 26 Oct 2021,Fri 19 Nov 2021,Athletics County Ground County Road Swindon SN1 2ED,Erection of a replacement toilet block.,Application Granted,Granted Permission,Thu 13 Jan 2022,Unknown,Not Applicable
S/HOU/21/1702,PP-10291256,Mon 25 Oct 2021,Wed 10 Nov 2021,11 Moormead Road Wroughton Swindon SN4 9BS,Construction of vehicle access.,Application Granted,Granted Permission,Fri 14 Jan 2022,Unknown,Not Applicable
S/HOU/21/1696,PP-10330897,Fri 22 Oct 2021,Wed 03 Nov 2021,2 Tenby Close Lawn Swindon SN3 1LN,"Erection of single/ two storey rear and single storey side extensions, and conversion of garage into habitable space.",Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1695,PP-10326724,Fri 22 Oct 2021,Tue 09 Nov 2021,83 Okebourne Park Liden Swindon SN3 6AJ,Erection of 2m. high fencing and the siting of 3no. greenhouse units.,Application Granted,Granted Permission,Fri 07 Jan 2022,Unknown,Not Applicable
S/ADV/21/1692,PP-10329622,Fri 22 Oct 2021,Tue 23 Nov 2021,Office 1 Regent Circus Complex Victoria Road Old Town Swindon SN1 1FA,Display of 4no. illuminated light boxes.,Application Granted,Granted Permission,Fri 21 Jan 2022,Unknown,Not Applicable
S/LDP/21/1722,Not Applicable,Wed 20 Oct 2021,Tue 07 Dec 2021,18 Kingdom Crescent Redhouse Swindon SN25 2NN,Certificate of lawfulness (Proposed) for the erection of a rear dormer window.,Application Granted,Granted Permission,Fri 28 Jan 2022,Unknown,Not Applicable
S/LDP/21/1721,Not Applicable,Wed 20 Oct 2021,Tue 16 Nov 2021,Gray Gables 7 Field Rise Old Town Swindon SN1 4HP,Certificate of lawfulness (Proposed) for the erection of a single storey rear extension.,Application Granted,Granted Permission,Wed 05 Jan 2022,Unknown,Not Applicable
S/ADV/21/1666,PP-10224882,Mon 18 Oct 2021,Tue 02 Nov 2021,Bleckmann Logistics Ltd. Trinity Park Hillmead Drive Hillmead Industrial Estate Swindon SN5 5ES,Display of various illuminated and non-illuminated signage.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/HOU/21/1650,PP-10303501,Thu 14 Oct 2021,Thu 14 Oct 2021,22 Bessemer Close Rodbourne Cheney Swindon SN2 1NB,Erection of two storey/single storey rear and single storey/first floor side extensions and conversion of garage to habitable space.,Application Granted,Granted Permission,Mon 24 Jan 2022,Unknown,Not Applicable
S/HOU/21/1635,PP-10287368,Sun 10 Oct 2021,Tue 12 Oct 2021,Ampney House 13 The Avenue Stanton Fitzwarren Swindon SN6 7SE,Erection of a single storey rear extension to the kitchen and a first floor dormer window to rear.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/21/1630,PP-10252226,Fri 08 Oct 2021,Fri 08 Oct 2021,Biplop Restaurant Wood House 12-14 Wood Street Old Town Swindon,Demolition of existing building and replacement with new building including extensions and internal modifications.,Unknown,Permission Refused,Mon 10 Jan 2022,Unknown,Not Applicable
S/21/1595,PP-10273749,Mon 04 Oct 2021,Mon 01 Nov 2021,45 Bath Road Old Town Swindon SN1 4AU,Erection of a single storey rear extension.,Application Granted,Granted Permission,Wed 12 Jan 2022,Unknown,Not Applicable
S/LBC/21/1562,PP-09960294,Fri 24 Sep 2021,Tue 05 Oct 2021,Newspaper House 99-100 Victoria Road Old Town Swindon SN1 3BE,"External and internal refurbishment of existing offices without compliance with Condition 2 (Approved Drawings), and variation of conditions 3 (Schedule of repairs) and 5 (Methodology) from previous consent S/LBC/18/0329.",Application Granted,Granted Permission,Fri 21 Jan 2022,Unknown,Not Applicable
S/HOU/21/1547,PP-10214358,Thu 23 Sep 2021,Mon 04 Oct 2021,Corbiere Hampton Lane Hampton Swindon SN6 7RL,"Erection of a single-storey rear extension, entrance porch and replacement garage with new access from highway.",Application Granted,Granted Permission,Wed 19 Jan 2022,Unknown,Not Applicable
S/21/1533,PP-10127727,Tue 21 Sep 2021,Tue 21 Sep 2021,Aldi Stores Limited Shaw Road Shaw Swindon SN5 7EZ,"A Hybrid Planning Application for mixed use development and associated works to include - full details of a retail food store (class A1) with associated access, car parking and landscaping and an outline proposal for up to 70no. residential units (class C3) all matters reserved without compliance with conditions 17 (Noise) and 20 (Delivery Hours) of previous outline permission S/OUT/14/0568.",Application Withdrawn,Application Withdrawn,Tue 11 Jan 2022,Unknown,Not Applicable
S/HOU/21/1520,PP-10224326,Thu 16 Sep 2021,Thu 16 Sep 2021,34 Church Walk North Swindon SN25 3DJ,Erection of a single storey rear extension.,Application Granted,Granted Permission,Wed 05 Jan 2022,Unknown,Not Applicable
S/LDP/21/1518,PP-10190045,Thu 16 Sep 2021,Mon 27 Sep 2021,5 Balmoral Close Lawn Swindon SN3 1HR,Certificate of lawfulness (Proposed) for the additional use of the existing residential swimming pool for private swimming lessons.,Unknown,Permission Refused,Thu 20 Jan 2022,Unknown,Not Applicable
S/HOU/21/1497,PP-10214649,Tue 14 Sep 2021,Wed 17 Nov 2021,13 Corby Avenue Lakeside Swindon SN3 1PX,Erection of single storey rear extension - retrospective.,Application Granted,Granted Permission,Tue 04 Jan 2022,Unknown,Not Applicable
S/HOU/21/1433,PP-10037093,Tue 31 Aug 2021,Mon 20 Sep 2021,Herbs Garden 92 Priors Hill Wroughton Swindon SN4 0RW,Erection of a single storey rear extension and associated works.,Application Granted,Granted Permission,Fri 07 Jan 2022,Unknown,Not Applicable
S/HOU/21/1427,PP-10165834,Fri 27 Aug 2021,Wed 22 Sep 2021,4 Haywain Close Groundwell Swindon SN25 4AB,Conversion of garage into habitable space.,Application Granted,Granted Permission,Wed 05 Jan 2022,Unknown,Not Applicable
