,Name,Website,Address,Phone Number,Social Page,Social Page,Facilities and Capacity,Price Pdf link
25,Chateau Vie,http://www.chateauvie.com/triadweddingvenueweddings?,"1208 N. Main Street Walnut Cove, NC, 27052",3365435731,https://www.facebook.com/Chateauvie/, ,"This expansive property has a range of facilities for couples to hold a classic ceremony and reception. To begin, the happy couple can relax with the wedding party in the Bridal Cottage or Groom’s Den. Each of these spaces offers excellent amenities for their comfort and convenience, including dressing areas, kitchen facilities, and showers. The bridal party can appreciate opulent chandeliers and hardwood floors, while the Groom’s Den features rustic wood paneling, bar stools, and a foosball table. Couples can exchange vows in a romantic courtyard centered around a large handcrafted fountain. Mature magnolia trees create an intimate enclosed setting, while carefully landscaped gardens provide a breathtaking view. The farmyard estate boasts further opportunities for a romantic outdoor wedding, including a fairytale forest venue and a picturesque lakeside area. After the ceremony, the newlyweds can then lead their guests to the pavilion. Designed to host grand celebrations, the space accommodates up to 200 guests with the use of the adjoining lawn. Adorned with multiple chandeliers, the room becomes a truly magical space at night for couples to share their first dance.",https://cdn0.weddingwire.com/solic/8/9/0/8/1/0/pricing-5015d7eef2235d6f_chateauvieplanner-2020.pdf
26,Momentous Hospitality Group,https://www.momentoushg.com/gsm-premium-club-room,"Gastonia, North Carolina Gastonia, NC, 28052",7048741814,https://www.facebook.com/hgmomentous,https://www.instagram.com/hgmomentous/,"At Momentous Hospitality Group, you have a choice of indoor and outdoor event spaces to choose from. The GSM Premium Club Room offers a classic ballroom setting, with floor-to-ceiling windows to fill the space with natural light. This room is ideal for a seated reception and features a built-in bar for convenience. The ballroom has a neutral color scheme, with gray-toned carpet and cream and black walls. Red accents and modern lighting subtly elevate the room. You can also celebrate on the rooftop with the Overlook Bar, which has romantic market lighting and plenty of space for larger celebrations. The built-in bar is perfect for those all-important celebratory toasts.", 
27,Bermuda Run Country Club,http://www.clubcorp.com/Clubs/Bermuda-Run-Country-Club/Host-an-Event/Weddings,"324 Bermuda Run Drive Advance, NC, 27006",336-998-8155,https://www.facebook.com/bermudaruncc?ref=hl,https://twitter.com/BermudaRunCC, , 
28,NC Aquarium Pine Knoll Shores,http://www.ncaquariums.com/pine-knoll-shores,"1 Roosevelt Blvd Pine Knoll Shores, NC, 28512",252-247-4003,https://www.facebook.com/NCaquariumPKS/,https://twitter.com/NCAquariumatPKS/status/1423700407814086659, ,https://cdn0.weddingwire.com/solic/9/5/7/0/2/1/pricing-505612d156d5628b_wedding-wire-rental-rates-are-between.pdf
29,The 37,https://the37venue.com/,"37 Church St Waynesville, NC, 28786",2529031202, , ,"This exquisite venue is nestled within the storied downtown of Waynesville, in easy reach of numerous amenities. With construction starting in 1927, this building has a long history of community and professional use. The first floor Mason Hall offers a room for up to 158 guests with an expansive room open floor plan and a bar. Adjacent is a private get-ready room for you to prepare and relax before your big entrance. Ascending to the third floor, guests enter the Grand Ballroom, with space for up to 350 guests. This gorgeous space features high ceilings, abundant natural light, get-ready rooms, and stunning views. The ornate finishings and attentive details of these sites are sure to be fixtures in your wedding photography and in your memories.", 
30,Courtyard Raleigh/Cary Parkside Town Commons,http://www.marriott.com/rdunw?,"1008 Parkside Main Street Cary, NC, 27519",919-659-1250,https://www.facebook.com/CourtyardRaleighParkside/, , ,https://cdn0.weddingwire.com/solic/7/3/8/8/3/0/pricing-362d70875cd2e2_wedding-package-2022.pdf
31,The Barn at Granite Ridge Farms,https://thebarnatgraniteridgefarms.com,"324 N Pino Rd Mocksville, NC, 27028",336-941-7273,https://www.facebook.com/GraniteRidgeFarms/,https://www.instagram.com/graniteridgefarms_events/,* Chairs, 
32,Luxury Lodging by Laura,http://luxurylodgingbylaura.com,"357 W 1st St. Ocean Isle Beach, NC, 28469",3365120129,https://www.facebook.com/luxurylodgingbylaura/,https://www.twitter.com/luxurylodgingbylaura.com,Let us help you w your dream beach wedding. Email us to set up a time for a quick call to discuss your wedding Inquiries@LuxuryLodgingByLaura.com, 
33,The 1915,https://the1915.org,"201 West Main Street Wilkesboro, NC, 28697",3369909500, , ,"There are several different locations in which you can tie the knot. The former courthouse can accommodate private ceremonies and are complete with a small stage, high ceilings, and original wooden flooring. With a neutral color scheme, this area can be decorated to match your ideal theme or kept as it is for chic ceremonies. During the summer months, you can exchange vows outside in the quaint courtyard. Here, you can tie the knot under a wooden arbor as your loved ones watch on under the sunlight. This outdoor space can then be transformed to host cocktail hours. In this setting, you can chat with friends, sip on drinks, and raise a toast to your one-of-a-kind love story. Banquets and receptions can follow in the courthouse which can accommodate up to 100 people with a dance floor.", 
34,River Forest Manor & Marina,http://www.riverforestmanor.com,"738 East Main Street Belhaven, NC, 27810",2529430320,https://www.facebook.com/RiverForestManorandMarina/,https://www.pinterest.com/RiverForestManorandMarina/,Facilities and Capacity,external-bodas://cdn0.weddingwire.com/solic/6/0/2/4/8/9/pricing-1534881052-cfa3ef332b48a034-RFMM_Packages_updated.pdf
35,The Barn at Vino,https://www.thebarnatvino.com/,"3200 Bliss Trail Stem, NC, 27581",9192384078,https://www.facebook.com/BarnAtVino,https://www.instagram.com/thebarnatvino.nc,"The Barn at Vino offers indoor and outdoor spaces for your once-in-a-lifetime event. Before your big day arrives, you may host your rehearsal dinner in the farm's wholesome barn. The barn's exterior features a covered patio area with tall pillars and exposed brick walls. You and your guests may also notice the charming interior featuring smooth wooden walls, white window frames, ambient lighting, and a large dance floor. The day after, you can exchange vows and enjoy a private photoshoot on the estate's luxurious green grounds. Once you're ready for food and drinks, the barn can transform into a reception hall with ample space for 200 friends and family members.",https://cdn0.weddingwire.com/solic/3/9/6/8/0/0/pricing-50162795bf6b4b30_2023-wedding-rates.pdf
36,Ramada Plaza Nags Head Beach Oceanfront,https://ramadaplazanagshead.com/outer-banks-wedding-venue/,"1701 S. Va Dare Trail Kill Devil Hills, NC, 27948",2524412151,https://www.facebook.com/ramada00604,https://www.instagram.com/ramadaplazanagshead,Facilities and Capacity,https://cdn0.weddingwire.com/solic/3/2/7/0/8/3/pricing-3616f1793ef880_updated-wedding-packet.pdf
37,Governors Club,http://www.governorsclubnc.com/weddings,"11000 Governors Drive Chapel Hill, NC, 27517",9199187216,https://www.facebook.com/govclubNC,https://www.pinterest.com/govclubnc/weddings-govclubnc/,"With a maximum capacity of 300, couples can fill this ballroom with their friends and family for the wedding, or choose to host a more private affair. Couples can marry on a patio space framed by tall trees in the background. Further still, the green grasses of the golf course roll into the distance, where they meet an imposing tree line before the bright blue sky. Ceremonies can also be held directly on the lawn at this course, for couples who want the Earth under their feet for the beginning of their lives together. The property has many bountiful locations for wedding portraits, including on a flat wooden bridge that stretches across the middle of an expansive pond, on a small knoll that meets the water below by way of a stone wall, or among the country club’s weeping willow trees. Inside, couples can use the clubhouse for their reception, complete with a grand staircase and bright elegant ballroom.", 
38,The Meadows at Walnut Cove,http://www.themeadowsnc.com,"2040 Dodgetown Road Walnut Cove, NC, 27052",3364141250,https://www.facebook.com/themeadowsnc/home, , ,https://cdn0.weddingwire.com/solic/0/3/7/7/3/9/pricing-1537635592-25a524c8f9c40ebf-MeadowsPlanner_RESIZED__Newest.pdf
39,Summit on Cross Mountain,https://summitcrossmtn.com,"365 Cross Mountain Road Jefferson, NC, 28640",3369788382,https://www.facebook.com/summitcrossmtn/,https://www.instagram.com/summitcrossmtn/,"Summit on Cross Mountain sits on 25.5 acres of breathtaking views no matter which direction you are looking. Our venue has both indoor and outdoor event spaces available for you to use on your wedding day with a maximum capacity of 150 guests. When you decide to book with us for your event, you are granted access to the full venue, including the use of both indoor and outdoor spaces for the ceremony and reception as well as a 2,000 sq. ft. outdoor terrace that overlooks the amazing view. Here, you can have your rehearsal dinner and afterwards unwind by the fireplace or firepit. Before the BIG day begins, you are invited to relax and get ready with your party in the venue’s two beautiful and comfortable suites. Cornhole boards, frisbees, checkers, chess, cards, and games are available to help pass the time. The property also features a prep kitchen that adds convenience for your caterers or other vendors. Guests will appreciate the convenience of onsite parking, the help of a parking attendant to assist them, and handicap accessibilty to the outdoor space, venue and restrooms.", 
40,Fontana Village Resort and Marina,https://www.fontanavillage.com/,"300 Woods Road Fontana Dam, NC, 28733",8284982150, , ,"Fontana Village Resort and Marina offers couples a multitude of reception and ceremony sites to choose from, suiting events of all sizes. A fantastic location for your special service is the Laurel Brook Fire Pit. This area is a cobblestone clearing, surrounded by green grass and towering trees. The plant life around you creates a stunning backdrop against which you can exchange your vows. This area allows for an unlimited number of guests to be seated, making sure there is plenty of space for your loved ones. Alternatively, your service can take place on the Wildwood Sundeck. Located in the heart of the village, this wooden deck offers breathtaking mountain views. You can welcome up to 100 guests here to witness you exchanging your vows. It is also an ideal spot for a cocktail reception after your service. For a more traditional service, you can opt for the charming Fontana Chapel. This structure boasts a fairytale aesthetic, with a stoned exterior and warm wooden pews inside. It can comfortably accommodate up to 175 guests. Consider the resort’s Event Hall for your reception. This expansive banquet space features hardwood floors and an optional pipe and drape. You can dine and dance with up to 400 guests in this prestigious hall, perfect for expansive events. For more intimate receptions, the Carolina Room is available. This hall is located in the Main Lodge and boasts warm lighting and stunning chandeliers overhead. Up to 100 guests can dine here banquet style and dance the night away in total comfort.", 
41,The Historic Magnolia House,https://www.thehistoricmagnoliahouse.org/wedding-venue-greensboro-nc,"442 Gorrell St Greensboro, NC, 27406",336.617.3382,https://www.facebook.com/MagnoliaHouseGreensboro,https://www.instagram.com/thehistoricmagnolia/,"The Historic Magnolia House offers a number of event spaces for you and your beloved to choose from. This recently restored hotel features a stylish mid-century aesthetic that makes a lasting impression on every guest that visits. The property is ideal for hosting a wide variety of events, from wedding ceremonies and receptions to cocktail hours and elopements. An indoor gathering can be held in the versatile ballroom, an open-plan area that can be customized to suit your needs. Alternatively, the carefully manicured grounds can play host to an unforgettable ceremony, and the large tented area is perfect for a celebratory night of dinner and dancing. Gatherings of up to 150 attendees can be accommodated at the property, making it a great place for both intimate soirées and grand events.",https://cdn0.weddingwire.com/solic/7/9/3/5/7/0/pricing-50962db1d0b93680_bridal-experince-packages-1.pdf
42,The Graham Mill,https://www.thegrahammill.com?,"205 W Harden Street Graham, NC, 27253",(919) 219-1185,https://www.instagram.com/thegrahammill, ,"This unique urban venue offers couples an inspiringly blank slate on which to create the wedding of their dreams. Couples have the option of both indoor and outdoor ceremonies and cocktail hours. You and your partner can set up an intimate and authentic wedding on the green outside using decor to create your theme. As newlyweds, you can then guide your loved ones inside the distinctive building for a reception of up to 240 people. Featuring charming market lights and wood-paneled ceilings, the interior of the property offers an urban take on a rustic country setting. This industrial facility allows your guests to experience the intimate atmosphere of a traditional barn wedding while remaining in touch with urban life. Furthermore, the venue contains two spacious dressing suites with elegant french doors for the wedding party to prepare.",https://cdn0.weddingwire.com/solic/5/5/6/7/8/8/pricing-5095d9ac4f9cadc5_the-graham-mill-information.pdf
43,Hampton Inn & Suites Brier Creek,https://hamptoninn3.hilton.com/en/hotels/north-carolina/hampton-inn-and-suites-raleigh-durham-airport-brier-creek-RDUANHX/index.html?,"8021 Arco Corporate Drive Raleigh, NC, 27617",9194840500,https://www.facebook.com/hamptoninnbriercreek/, , ,https://cdn0.weddingwire.com/solic/9/3/7/6/2/1/pricing-1490191696-ff9879365cc59be3-1490191614-a581b57b7a866529-1487174798-c726e99d9c3ad94b-1472759676-c.pdf
44,Pait Estate,http://paitestate.com,"Maiden, NC, 28650",8284559085, , , , 
45,All Saints Chapel,http://www.allsaints1875.com/,"110 S East Street Raleigh, NC, 27601",9194593212,http://www.facebook.com/256342501681,http://twitter.com/AllSaints1875,Services Offered,https://cdn0.weddingwire.com/solic/0/9/4/5/5/1/pricing-1514324675-89832b272ed549b1-All_Saints_Pricing_Sheet.pdf
46,Thorndale Oaks,http://www.thorndaleoaks.com,"105 W Quailridge Rd Oxford, North Carolina, 27565",9196033701,https://www.facebook.com/thorndaleoaks/,https://www.instagram.com/thorndaleoaks/, , 
47,Old Lystra Inn,https://www.facebook.com/oldlystrainn,"1164 Old Lystra Inn Chapel Hill, NC, 27517",9193971377,https://www.facebook.com/OldLystraInn, ,"Old Lystra Inn is a historic wedding venue located in Chapel Hill, North Carolina. Couples will experience a 1890’s renovated farmhouse nestled under towering oak trees on this 10-acre property. They pride themselves on their flexibility and allowing your unique vision to come to life. Old Lystra Inn promises to let your creativity and innovative ideas flourish.

Facilities and Capacity
Couples can accommodate up to 176 guests at this vintage-style venue. They offer two beautiful outdoor options on their spacious estate. You can say your “I do’s” under gorgeous oak trees, and then dance the night away under the stars. If you prefer some coverage, Old Lystra Inn will provide a 40-foot by 80-foot tent for your ceremony or reception.

Services Offered
This full-service wedding venue allows each couple's exclusive use of their property for 14 hours the day of their celebration. There are private bridal and groom’s suites where you can start your day, complete with refreshing beverages. A hair and makeup studio is also available for you and your bridal party, and they'll provide light snacks for the ladies. For your ceremony, they'll provide white wooden chairs, and for your reception your guests can sit on cross-back oak wooden chairs. Round tables are also included, along with assistance setting up and cleaning up. Additional services include:",https://cdn0.weddingwire.com/solic/6/6/3/7/8/9/pricing-1519228366-210bc8d4d8a6235f-OLI_Prices.pdf
48,The Fair Barn,http://www.thefairbarn.org,"200 Beulah Hill Road South Pinehurst, NC, 28374",9102950166, , ,"Upon arrival, you and your party will have exclusive access to the venue’s private dressing rooms fitted with full-length mirrors and lighted vanities. You can rest assured knowing that these areas have everything you need to make yourself feel completely comfortable and prepared for the big day ahead. At The Fair Barn, you can welcome as many as 500 to 800 guests, depending on the layout you choose for your wedding. There are multiple outdoor locations with spectacular views; these options are ideal on warm and sunny days.", 
