,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
16,arteacherchik,Field Representative for the U.S. Census Bureau. I truly enjoy working with the community and gathering needed information that aids our policymakers.,"Brookland, AR",25,11,1689,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #trixiemilo: https://t.co/1J0VHcqz2b https://t.co/WCSX9bYbws,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'trixiemilo']"
17,ispyluxury,Selling brand new luxury goods at a fair price — located in Ontario ship worldwide,"Ontario, Canada",139,13,1984,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @sweetstuffed #poshmark #fashion #style #shopmycloset #underarmour #spanner #evernew: https://t.co/yFGJyO0uP0 https://t.co/FXx4IQCl06,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'spanner', 'evernew']"
18,Saharabellnmore,Mere de 2 adolescents,Gatineau ,38,41,1969,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #lmna #hilor: https://t.co/W06QAvykVu https://t.co/SS4wLC7Ywc,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'lmna', 'hilor']"
19,madenewresale,,,1,0,494,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour: https://t.co/RLa8W4XCVq https://t.co/Ei5n9b5qHW,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour']"
20,nurseretire,I love selling great items @ great prices. C my closet on Poshmark using https://t.co/HcLI3CUn3k $5 when you use my code @nurseretire,United States,439,703,39164,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #lilystar #kasper #underarmour: https://t.co/Hf2D0a9oKA https://t.co/gRhBEmS13Q,"['poshmark', 'fashion', 'style', 'shopmycloset', 'lilystar', 'kasper', 'underarmour']"
21,LesiaSoylemez,,,15,7,1618,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @GinaONeill3 #poshmark #fashion #style #shopmycloset #underarmour #anthropologie: https://t.co/3gvl5QKYRy https://t.co/Gg5NZlBOHl,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'anthropologie']"
22,HossPetit1,Hi!  Have a great day!!,"North Charleston, SC",83,15,1495,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #ninewest #underarmour #nike: https://t.co/wKTmiQQBM7 https://t.co/frgCZI8CFS,"['poshmark', 'fashion', 'style', 'shopmycloset', 'ninewest', 'underarmour', 'nike']"
23,SchafferJaime,,,31,31,328,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @NikkieShop #poshmark #fashion #style #shopmycloset #rachaelchloe #underarmour: https://t.co/eGnDT2rOED https://t.co/J8Ek3May0q,"['poshmark', 'fashion', 'style', 'shopmycloset', 'rachaelchloe', 'underarmour']"
24,2SWEET2BE,"THE RESALE SHOP-CHILDREN'S CLOTHING, INDOOR AND OUTDOOR TOYS, BABY EQUIPMENT, BOOKS, GIFT BASKETS, AND MUCH MORE!!!","MONTGOMERY, ALABAMA",375,87,2899,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @parlor1 @GracefulLilyWpg #poshmark #fashion #style #shopmycloset #vintage #fashionnova #underarmour: https://t.co/RhA4NN0aca https://t.co/AQhAtvVN7m,"['poshmark', 'fashion', 'style', 'shopmycloset', 'vintage', 'fashionnova', 'underarmour']"
25,kanadianbest,"https://t.co/ZJK4Q3dy6l – Your Prime Discount Store For Computers|Electronic|Games|Toys|Drones|Everything Tech & More.
Easy Returns | Money Back Guarantee",,432,748,338884,0,C$47.18 - #FreeShipping | Shop now and enjoy great discounts!  Under Armour Mens Training Vent 2.0 Short #UnderArmour       ?? https://t.co/uReTzJ6o1i       #holiday #gifts #sharious  #canadianbestseller  #canada #usa #product #1361426  #Armour  #Mens . https://t.co/6xoBAAAHLM,"['FreeShipping', 'UnderArmour', 'holiday', 'gifts', 'sharious', 'canadianbestseller', 'canada', 'usa', 'product', 'Armour', 'Mens']"
26,beckysphone1981,I always get the shit end of the stick i want the stick end damnnit!! - Me,i hate florida. ,376,1114,314032,1,"Heat and humidity in the southeast is so bad, religious people be cutting holes in #underarmour shirts to be fucking.",['underarmour']
27,ting25552,"Saintsup only และชาว #MingEr

อยู่ข้างๆ ซุปเสมอมาและเสมอไปจ้า😊❤️✌️ ความในใจของ #saint_sup 
https://t.co/S1OWiZPhZc…


#ความทรงจำดีๆของติ่งต้อย",,515,858,156726,74,"2021.07.22 @Saint_sup Live on Instagram 

👕 #UnderArmour 
🩳 #Nike 
🧤 #Jason
⌚️ #AppleWatch 

he was shaping something that MingEr’s favorite and  go crazy...😍😍😍💃🏼💃🏼

#Saint_sup #MingEr #SaintsupCloset https://t.co/Ri77QSkNHR","['UnderArmour', 'Nike', 'Jason', 'AppleWatch']"
28,ting25552,"Saintsup only และชาว #MingEr

อยู่ข้างๆ ซุปเสมอมาและเสมอไปจ้า😊❤️✌️ ความในใจของ #saint_sup 
https://t.co/S1OWiZPhZc…


#ความทรงจำดีๆของติ่งต้อย",,515,858,156726,76,"2021.08.06 @Saint_sup update on IGs

👕#UniqloxMeguruYamaguchi
🩳#UnderArmour 
👟#Adidas 

🎁
👕 Phi @ting25552 
🩳 Phi @kBEFOREt 

#Saint_sup #MingEr #SaintsupCloset https://t.co/XvVvNpldLR","['UniqloxMeguruYamaguchi', 'UnderArmour', 'Adidas']"
29,boyntonbargains,Welcome to our store Boynton Bargains. We are always on the lookout for those special buys that we can offer our customers. #ebay #poshmark #womansclothing,"Florida, USA",2884,3082,43080,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @hon3ybuds #poshmark #fashion #style #shopmycloset #underarmour #dollskill #romeojulietcouture: https://t.co/4Nvdfj4Vxg https://t.co/uDyXa4xCTF,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'dollskill', 'romeojulietcouture']"
30,janikk_1,"Gardening, scrapbooking, & traveling are my passion! Love the Masked Singer, The Voice, American Idol & Impractical Jokers! ❤️ Yankees! ⚾️",,353,236,11753,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @wearitlikemads #poshmark #fashion #style #shopmycloset #underarmour #wearitlikemads: https://t.co/bC0oKwMHTo https://t.co/xfLe26Uo6i,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'wearitlikemads']"
31,NinaMul71140939,,,898,114,7215,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Lemoncafe2017 #poshmark #fashion #style #shopmycloset #seven7 #circusbysamedelman #underarmour: https://t.co/lrqULnYR6i https://t.co/twH8baMiVV,"['poshmark', 'fashion', 'style', 'shopmycloset', 'seven7', 'circusbysamedelman', 'underarmour']"
32,BOPJandG,Desiree Allen-Owner/Operator,South Carolina,90,20,5694,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #consuela #underarmour #isaac: https://t.co/zNmkWvI940 https://t.co/RdJl4LGVbP,"['poshmark', 'fashion', 'style', 'shopmycloset', 'consuela', 'underarmour', 'isaac']"
33,septembererin,"I'm a christian, an artist, writer, poet, photographer, and an autism mom and advocate. I also buy and sell clothes, shoes & access. on Poshmark @afairyswhisper","Tarpon Springs, FL",317,97,6628,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @ElaineJ45193072 #poshmark #fashion #style #shopmycloset #underarmour #zenspiritz: https://t.co/3Z1sMBpayM https://t.co/9GfFgXIwIp,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'zenspiritz']"
34,TheBandTeeShop,"Level-Up your Wardrobe with us!
Band Tees, Vintage-wear, Custom Designs, Denim & Athletic-wear! https://t.co/9WNPLRznVp
Poshmark, Depop & eBay","Toronto, Ontario",3654,2319,10056,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @sweetstuffed #poshmark #fashion #style #shopmycloset #lois #underarmour #vince: https://t.co/WzEPSMZxBW https://t.co/I36PggvhjL,"['poshmark', 'fashion', 'style', 'shopmycloset', 'lois', 'underarmour', 'vince']"
35,SexySilvana,"Mommy, Wife, Teaching Assistan, Fitness Lover, Love for Autism, Foundraiser.","Queens, NY",952,370,3599,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #athleta #vans: https://t.co/O9pgNsaXLA https://t.co/h0pFwv3KoS,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'athleta', 'vans']"
36,bunnybable,,,110,9,997,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #freepeople #underarmour: https://t.co/auRsDQ3h08 https://t.co/fgKHslBGJ6,"['poshmark', 'fashion', 'style', 'shopmycloset', 'freepeople', 'underarmour']"
37,nelsoninthelou,,,104,6,42,1,Thank you so much @VBallrecruiter &amp; @uanextvball for this amazing opportunity to play with very talented athletes and receive awesome gear! I had so much fun and met some really fun people! It was a great way to bring the club season to an end! 🤩#allamericvolleyball #underarmour https://t.co/FtgFLj2Oo0,[]
38,Huskyboyo,I draw stuff. I don’t do tattoos. Commissions are closed. YouTube @huskyboyo IG: @Huskyboyo     https://t.co/CcPMA9QNpm,"Nashville, TN",2208,2393,17296,1,"Heat and humidity in the southeast is so bad, religious people be cutting holes in #underarmour shirts to be fucking.",['underarmour']
39,sparynda,,"New York, USA",240,264,30411,0,#UnderArmour MLB NY #Yankees Compression Fit Mens Athletic Tee Size S Shirt Blue https://t.co/mMtGtgYVev #eBay via @eBay,"['UnderArmour', 'Yankees', 'eBay']"
40,keishadean86,,Tennessee,807,126,2507,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #dandee #swimsuitsforall: https://t.co/mPgNPgXwvj https://t.co/96HvreeWBX,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'dandee', 'swimsuitsforall']"
41,Bugaboosbargain,"BUGABOO'S BARGAIN BOUTIQUE,  QUALITY boutique items for less $$!!
About Me: I have amazing family that my world revolves around. this is all for them!","Pennsylvania, USA",181,111,1424,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @ArbitraryBasil #poshmark #fashion #style #shopmycloset #underarmour #disney #fossil: https://t.co/JsCykdlIJG https://t.co/Lwip3xDtTu,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'disney', 'fossil']"
42,poshambassador2,I absolutely love being a seller on Poshmark!,"Shaler Township, PA",371,162,147,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @alycat2333 #poshmark #fashion #style #shopmycloset #avaviv #underarmour #boohoo: https://t.co/UNKqpQ2xXb https://t.co/Dm8MDy0Hgc,"['poshmark', 'fashion', 'style', 'shopmycloset', 'avaviv', 'underarmour', 'boohoo']"
43,meg112358,,,558,40,1061,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @maness_lora #poshmark #fashion #style #shopmycloset #calvinklein #underarmour #sarahcoventry: https://t.co/SzOP0QLx1F https://t.co/QoqOmo4Dr7,"['poshmark', 'fashion', 'style', 'shopmycloset', 'calvinklein', 'underarmour', 'sarahcoventry']"
44,RTBearTruth,"Hunters of unique resale items. Explore HUGE inventory 1500+ items!! Vinyl records, clothing & want to find out more.... https://t.co/0cFEt3HwCh","Southwest, USA",349,359,23991,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #tahari #tommyhilfiger #underarmour: https://t.co/hQTIcPMA8b https://t.co/akkZL1U3J7,"['poshmark', 'fashion', 'style', 'shopmycloset', 'tahari', 'tommyhilfiger', 'underarmour']"
45,jernate,Jesus Freak.  Charlie's Wife.  Home school Mom.  Business Owner. Corgi Lover.  Bibliophile.  And Essential Oils are my thing!,N 39� 37' 0'' / W 77� 46' 0'',1866,380,5595,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @christasays #poshmark #fashion #style #shopmycloset #underarmour #bcbgmaxazria #jessicakagancushman: https://t.co/TVTJ7g4s96 https://t.co/wnvBZ5BHIN,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'bcbgmaxazria', 'jessicakagancushman']"
46,uanextvball,Official home of the Under Armour All-America Game and Camp Series. Train and compete with the best. #UANext,,23,2312,301,1,Thank you @uanextvball and @VBallrecruiter for the opportunity to rep @KIVAVB at the High School Under Armour Next Camp #volleyball #outsidehitter #uanextcamp #underarmour #volleyballgirls I got to meet some great people like @MeghanCliff6 https://t.co/Q8VuRt6kkX,[]
47,CamVb30,Class of 2026 Bryan Station High School @KIVAvb  14 Red IG: https://t.co/hwKov92FCj YouTube: https://t.co/Um6Wkn6pd2,"Kentucky, USA",81,19,19,1,Thank you @uanextvball and @VBallrecruiter for the opportunity to rep @KIVAVB at the High School Under Armour Next Camp #volleyball #outsidehitter #uanextcamp #underarmour #volleyballgirls I got to meet some great people like @MeghanCliff6 https://t.co/Q8VuRt6kkX,"['volleyball', 'outsidehitter', 'uanextcamp', 'underarmour', 'volleyballgirls']"
48,jnetposh,"Everything for the reseller at your favorite Honey Hole
Come shop with us",,96,69,2340,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @poshcinalynn #poshmark #fashion #style #shopmycloset #underarmour #thehappyplanner #handcrafted: https://t.co/5bgFR3bBjs https://t.co/Vn846U6Cv7,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'thehappyplanner', 'handcrafted']"
49,nelsonalyssa7,Rockwood Thunder 16 Elite Setter/DS Lafayette Highschool 2024| Instagram-@alyssnelson|,,96,48,18,1,Thank you so much @VBallrecruiter &amp; @uanextvball for this amazing opportunity to play with very talented athletes and receive awesome gear! I had so much fun and met some really fun people! It was a great way to bring the club season to an end! 🤩#allamericvolleyball #underarmour https://t.co/FtgFLj2Oo0,"['allamericvolleyball', 'underarmour']"
50,Kellis1986,"poshmark ambassador 
fashionista
shoefreak
shopwithmeonposhmark
kellis1986",,3,14,2115,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @cristinmodas #poshmark #fashion #style #shopmycloset #wilddiva #underarmour: https://t.co/tH5zxD966M https://t.co/5CpxyGHQZH,"['poshmark', 'fashion', 'style', 'shopmycloset', 'wilddiva', 'underarmour']"
51,rockethulsey,"CLASSIC POP CULTURE LAB
                 1950-1999","New Orleans, LA ",26178,27314,556868,1,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @barn_burn #poshmark #fashion #style #shopmycloset #ralphlauren #underarmour #adidas: https://t.co/fwjRqzEDNr https://t.co/xGwOgayBwC,"['poshmark', 'fashion', 'style']"
52,rockethulsey,"CLASSIC POP CULTURE LAB
                 1950-1999","New Orleans, LA ",26178,27314,556868,1,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @barn_burn #poshmark #fashion #style #shopmycloset #nike #underarmour: https://t.co/fwjRqzEDNr https://t.co/3hMQ2vrwZs,"['poshmark', 'fashion', 'style']"
53,BLester1993,#815 Native. #EIU Grad. Sports writer at Navarre Press. Author of @UF_Oilers_MBB #D2 title season. @TheNHSRaiders @GoArgos @MiLB and more. https://t.co/OR1yoWYwC8,Florida,3906,2341,56757,2,"Congratulations to our girls who made the 2022 FACA Class 2A All-State Flag Football teams:

2nd Team: Ashten Dickerson
3rd Team: Amaya Pablo and Lucy Gongwer

Well earned honors!

#PaceFlagFB #UnderArmour #GoPatriots https://t.co/MpduTyukxf",[]
54,EsportsTweeter,"Esports Retweets. Supporting Esports Worldwide!
@ us for a retweet and Use the hashtag #esports for a retweet.",United States,4,4591,119769,2,"Who else spent the weekend in Maui, HI for @ESPNHonolulu @espn #hawaii @UANextFootball #Maui #eSports #UnderArmour https://t.co/iY44dely7w","['hawaii', 'Maui', 'eSports', 'UnderArmour']"
55,ChrisRaggard,Teacher | Coach | Husband | Father,"Pace, FL",333,351,34409,2,"Congratulations to our girls who made the 2022 FACA Class 2A All-State Flag Football teams:

2nd Team: Ashten Dickerson
3rd Team: Amaya Pablo and Lucy Gongwer

Well earned honors!

#PaceFlagFB #UnderArmour #GoPatriots https://t.co/MpduTyukxf",[]
56,QuintinKauwalu,God 1st || Hawaii Student Athlete || Kapolei HS ‘23 || O-line 5’11” 350lbs. || LINK BELOW TO GET CONNECTED ⬇️,"Waianae, HI",107,35,17,0,"If your hard work never paid off, it wasn’t hard enough! LFG! #Maui #Hawaii #Football #UnderArmour #FootballTogether #footballnews https://t.co/MsHvGBldmX","['Maui', 'Hawaii', 'Football', 'UnderArmour', 'FootballTogether', 'footballnews']"
57,PaceFlagFB,Official Twitter for Pace High Girls Flag Football 2022 District 1-2A Champs & Region 1 Runner-Up #Team4 #PaceFlagFB #UnderArmour #GoPatriots,"Pace, FL",271,440,518,2,"Congratulations to our girls who made the 2022 FACA Class 2A All-State Flag Football teams:

2nd Team: Ashten Dickerson
3rd Team: Amaya Pablo and Lucy Gongwer

Well earned honors!

#PaceFlagFB #UnderArmour #GoPatriots https://t.co/MpduTyukxf","['PaceFlagFB', 'UnderArmour', 'GoPatriots']"
58,QuintinKauwalu,God 1st || Hawaii Student Athlete || Kapolei HS ‘23 || O-line 5’11” 350lbs. || LINK BELOW TO GET CONNECTED ⬇️,"Waianae, HI",107,35,17,2,"Who else spent the weekend in Maui, HI for @ESPNHonolulu @espn #hawaii @UANextFootball #Maui #eSports #UnderArmour https://t.co/iY44dely7w","['hawaii', 'Maui', 'eSports', 'UnderArmour']"
59,realishreality,,"Middletown, CT",319,29,1059,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @marvialbert1 @KStone87387813 #poshmark #fashion #style #shopmycloset #lularoe #billlevkoff #underarmour: https://t.co/qhekWl0NSg https://t.co/GVbuot9E5L,"['poshmark', 'fashion', 'style', 'shopmycloset', 'lularoe', 'billlevkoff', 'underarmour']"
60,MMontysko,,,0,6,4117,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #wwatx #boohoo: https://t.co/UIJh50YXOC https://t.co/xOFS7dvRll,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'wwatx', 'boohoo']"
61,theveesup,"https://t.co/XWIyBOAkWB for top brand name products at great prices! Stop by and say, Veesup!",,10,15,2567,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #polobyralphlauren #underarmour #laurenralphlauren: https://t.co/LVvkrXuqjb https://t.co/Sm56zxDKwL,"['poshmark', 'fashion', 'style', 'shopmycloset', 'polobyralphlauren', 'underarmour', 'laurenralphlauren']"
62,PoshPineapple3,,"Florida, USA",321,552,2604,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #newyorkcompany: https://t.co/JeFmwexeH5 https://t.co/qLI2sVJRi7,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'newyorkcompany']"
63,PardonMyDank,29 | FL | Likely tweeting about tv shows & sports | #RaysUp #GoBucs #GoBolts | #TWD #TheSopranos |,,285,80,5418,0,"I’ve had #Walmart slides last longer than these @UnderArmour slides. Brought these less than 6 months ago, and it’s already broken lol. #underarmour https://t.co/0yPCLdHZ0e","['Walmart', 'underarmour']"
64,1Rennde,https://t.co/5M3fjise1s is a discount e-Commerce retailer dedicated to bringing Luxury and Fashion  brands to you at the very best possible price.,"Coral Springs, FL",10,9,45,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #nastygal #freepeople: https://t.co/8rbgMTJivV https://t.co/Ijj2S3r4dj,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'nastygal', 'freepeople']"
65,powerbabe7,,,326,91,4253,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #americaneagleoutfitters #underarmour: https://t.co/qO8QtzpAFP https://t.co/GhTVzQRZTY,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'americaneagleoutfitters', 'underarmour']"
66,Juliussawyer5,Single Farther Trying To Make A Few Bucks Selling Good quality Items At A Fair Price..LiVE FREE OR DIE!!,nh,0,0,739,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @CaptainFadeaway #poshmark #fashion #style #shopmycloset #underarmour #seiko: https://t.co/xhHYGM0zWy https://t.co/bBHhfDdjFX,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'seiko']"
67,AngelHrtTreas,"Handmade jewelry & decor using sterling, copper, crystals, and semiprecious gemstones, soon to explore other mediums!",,342,167,6582,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @evesaintjewelry #poshmark #fashion #style #shopmycloset #stevemadden #underarmour #artisan: https://t.co/o9Zi6aIShP https://t.co/0UMgkfAXWH,"['poshmark', 'fashion', 'style', 'shopmycloset', 'stevemadden', 'underarmour', 'artisan']"
68,jaye_leon,,,28,22,3533,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @sheena_sink #poshmark #fashion #style #shopmycloset #planetgold #charlotterusse #underarmour: https://t.co/WVez5Vp4S2 https://t.co/lH4CVR8f0Y,"['poshmark', 'fashion', 'style', 'shopmycloset', 'planetgold', 'charlotterusse', 'underarmour']"
69,Valbregas,CEO Unibe Group LLC & Raretimz LLC,united states,319,52,8873,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #puma #merrell #underarmour: https://t.co/DzIJw0jL7a https://t.co/xE86BpmPRn,"['poshmark', 'fashion', 'style', 'shopmycloset', 'puma', 'merrell', 'underarmour']"
