,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
16,katwoman51,,,24,39,3847,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #vintagealoha1968 #betseyjohnson: https://t.co/ql52HkmVBv https://t.co/4xwdvecHN0,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'vintagealoha1968', 'betseyjohnson']"
17,PriscillaRanci1,Kind hearted,,142,7,975,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @PoshmarkLover #poshmark #fashion #style #shopmycloset #becca #nike #pinkvictoriassecret: https://t.co/FrN6el0hza https://t.co/ArBzPK3LWb,"['poshmark', 'fashion', 'style', 'shopmycloset', 'becca', 'nike', 'pinkvictoriassecret']"
18,itskamarinab,"#BIGBANG_StilLife 
STILL LIFE STILL HERE

https://t.co/kZm4uVPHpj","𝙵𝚕𝚘𝚠𝚎𝚛 𝚛𝚘𝚊𝚍, MX 🇲🇽",248,334,561,34,but the shoes look like paranoise? but with black base #GDRAGON #NIKE https://t.co/WqFVEWEAAR,"['GDRAGON', 'NIKE']"
19,Djoelfck,nasi dimakan jadi tai,,26,6,22,0,"what’s happening??
#THOR #instagramdown #itshappening #nike #adidas https://t.co/IVyAuF52tR","['THOR', 'instagramdown', 'itshappening', 'nike', 'adidas']"
20,chinadollauxi,Take Down the Chinese Communist Party 共产党、你完了,,89,902,21962,77,"#Nike quits #Russian  market completely💥
Companies have announced to suspend/withdraw their business in Russia, including #McDonald #CocaCola #Starbucks #Decathlon #Uniqlo parent company Fast Retailing #IKEA #Apple #IBM #Ford #Boeing and even #Visa #MasterCard, etc.","['Nike', 'Russian']"
21,tttopchan,I care about BIGBANG’s friendship more than I care about my friends,GTOP /  OT5 ,141,296,4820,3,"#GDRAGON shoes, 2019 to 2022. #Nike #peaceminusone @Nike 😍😍 beautiful collection. 
(by kaochui926) https://t.co/No6SFJz90c","['GDRAGON', 'Nike', 'peaceminusone']"
22,Joses_World,"Debt-free Dreaming, Fashion Loving, Discount Sharing, Rosé Sipping, Tea Slurping, Migraine Suffering, Liberty Exposer, Secret Blogger ☕️👩🏾‍💻🍷🧘🏾‍♀️👛","UK, Earth ",1073,825,5647,0,"📢Nike Air Force at Office Shoes
https://t.co/NwlBPfVewT

#nikeairforce1 #nike #airforceone #officeshoes #fashionstyle #Trending #shop #affiliate https://t.co/QbSFVohU8b","['nikeairforce1', 'nike', 'airforceone', 'officeshoes', 'fashionstyle', 'Trending', 'shop', 'affiliate']"
23,mynkshankar,"Pursuing MBA | Podcast Host | Reader | Content Creator|
Marketing | Self Growth | Advertising | Mindset |
Spreading Positivity.",,92,17,157,0,"The way Nike makes its Ads is impeccable.

#nike #marketing","['nike', 'marketing']"
24,DeciousMolekoa,A real man take care of his family and protect them all the time ✊✊✊,"Johannesburg, South Africa",1335,888,30311,5,"Get off... the couch/bed ubangene🏃‍♀️🏃‍♀️
#TheStreetAreCalling #IChoose2BActive 
#IPaintedMyRun #FetchYourBody2022 
#RunningWithTumiSole #Nike https://t.co/euRJqgOtji","['TheStreetAreCalling', 'IChoose2BActive', 'IPaintedMyRun', 'FetchYourBody2022']"
25,oyedele_hannah,can't wait for GD to get married ❤️❤️❤️,,316,246,65456,11,"𝒯𝒽𝒶𝓃𝓀𝓈 🐲🅿️♏️🅾️

#KIIIONDO
#KWONDO1
#PEACEMINUSONE
#NIKE https://t.co/tw3RCOr6oz","['KIIIONDO', 'KWONDO1', 'PEACEMINUSONE', 'NIKE']"
26,oyedele_hannah,can't wait for GD to get married ❤️❤️❤️,,316,246,65456,3,"#GDRAGON shoes, 2019 to 2022. #Nike #peaceminusone @Nike 😍😍 beautiful collection. 
(by kaochui926) https://t.co/No6SFJz90c","['GDRAGON', 'Nike', 'peaceminusone']"
27,jianliu00600223,,,2907,2855,53284,77,"#Nike quits #Russian  market completely💥
Companies have announced to suspend/withdraw their business in Russia, including #McDonald #CocaCola #Starbucks #Decathlon #Uniqlo parent company Fast Retailing #IKEA #Apple #IBM #Ford #Boeing and even #Visa #MasterCard, etc.","['Nike', 'Russian']"
28,hplbot,H.P. Lovecraft retweet bot.,,29,3278,318575,1,1st 10 people to DM me their email will get a $25 E-Gift Card to my store!! https://t.co/TjxI78e02z #giftcard #free #gift #email #ShopMyCloset #sole #sneakershead #sneakers #kicks #supportsmallbusiness #love #film #music #discount #FlashSale #supersale #nike #Jordan #streetwear https://t.co/di6ZuzkFCH,"['giftcard', 'free']"
29,JHL50471619,TAKE DOWN THE CCP！共匪不滅誓不休！Gettr = get truth！,,771,1571,108329,77,"#Nike quits #Russian  market completely💥
Companies have announced to suspend/withdraw their business in Russia, including #McDonald #CocaCola #Starbucks #Decathlon #Uniqlo parent company Fast Retailing #IKEA #Apple #IBM #Ford #Boeing and even #Visa #MasterCard, etc.","['Nike', 'Russian']"
30,NextChapter_NYC,Film/TV Production Company 🗽 Soles 👟🥾Threads 🧵🪡Hats 🧢 Jackets 🥼Vintage 🧥 Support@thenextchapternyc.com,New York,1360,3509,245,1,1st 10 people to DM me their email will get a $25 E-Gift Card to my store!! https://t.co/TjxI78e02z #giftcard #free #gift #email #ShopMyCloset #sole #sneakershead #sneakers #kicks #supportsmallbusiness #love #film #music #discount #FlashSale #supersale #nike #Jordan #streetwear https://t.co/di6ZuzkFCH,"['giftcard', 'free', 'gift', 'email', 'ShopMyCloset', 'sole', 'sneakershead', 'sneakers', 'kicks', 'supportsmallbusiness', 'love', 'film', 'music', 'discount', 'FlashSale', 'supersale', 'nike', 'Jordan', 'streetwear']"
31,WhiteTamar1,#GDRAGON #지드래곤 #지디 enthusiast 💛. 누가 뭐래도 권지용은 멋진 사람이고 수많은 사람들의 행복이니까 행복하고 예쁘게 살았으면 좋겠다 🙏 권지용 항상 사랑해. GD Solo Album is coming.,9-1 Hannam Penthouse,525,825,16750,3,"#GDRAGON shoes, 2019 to 2022. #Nike #peaceminusone @Nike 😍😍 beautiful collection. 
(by kaochui926) https://t.co/No6SFJz90c","['GDRAGON', 'Nike', 'peaceminusone']"
32,viphuman8888,peace,,51,9,3780,11,"𝒯𝒽𝒶𝓃𝓀𝓈 🐲🅿️♏️🅾️

#KIIIONDO
#KWONDO1
#PEACEMINUSONE
#NIKE https://t.co/tw3RCOr6oz","['KIIIONDO', 'KWONDO1', 'PEACEMINUSONE', 'NIKE']"
33,mswaichingliu81,"FEMALE, pro 🇪🇺, 🇬🇧 Born Chinese, blogger, supporter of free rights, Costco full-timer. Interests music, films, travel 🇪🇸 🇺🇸 🇭🇰, food, culture","London, England, UK",2317,1852,237340,0,"Never Settle, Never Done | Nike https://t.co/fdFVExhGxy via @YouTube #nike, #football, #soccer, #womensfootball","['nike', 'football', 'soccer', 'womensfootball']"
34,nunovalinhas,Portuguese. Ex-Londoner. 2x Dad. Football & Music lover. @Sporting_CP supporter. Wish I had time to play @FootballManager. #crypto curious. $CHZ HODLer.,"Lisbon, Portugal",7633,6943,110654,1,Most likely. #AEKAthens #Nike #SportingCP https://t.co/D71UmODpHa https://t.co/pwDHDHVq58,"['AEKAthens', 'Nike', 'SportingCP']"
35,davidhills88481,Take down the CCP,,589,678,28387,77,"#Nike quits #Russian  market completely💥
Companies have announced to suspend/withdraw their business in Russia, including #McDonald #CocaCola #Starbucks #Decathlon #Uniqlo parent company Fast Retailing #IKEA #Apple #IBM #Ford #Boeing and even #Visa #MasterCard, etc.","['Nike', 'Russian']"
36,TbkCoach,"You haven’t seen resistance training with bands until you’ve trained with the band master there’s levels to this,","Ashburn, VA",399,267,41450,0,Dominate the game…. @seahawkboosters @nylakargbo2024 @mylesjones @shine_leigh4 #mindset #dominate #beast #personaltrainer #coach #hips #strength #Nike #bandmaster https://t.co/mpL6HKeyWs,"['mindset', 'dominate', 'beast', 'personaltrainer', 'coach', 'hips', 'strength', 'Nike', 'bandmaster']"
37,saralil46051216,雅典娜农场欢迎您：https://t.co/n3ts1yovzj,,359,112,103793,77,"#Nike quits #Russian  market completely💥
Companies have announced to suspend/withdraw their business in Russia, including #McDonald #CocaCola #Starbucks #Decathlon #Uniqlo parent company Fast Retailing #IKEA #Apple #IBM #Ford #Boeing and even #Visa #MasterCard, etc.","['Nike', 'Russian']"
38,bangsieness,"BIGB5NG&7KON
👑🃏 probably YG artists bot 💪💎 | wanna one 1¹¹=1☝💘 | JD💜 DG🍎 #เตนิว 💙 🚢 | my English is not perfect 💩 | Jung Chanwoo's noona 💚",Flower Road,313,132,119818,119,"#GDRAGON as 'The Creator' and 'King of Kpop' by Nike ✔️👑.
#peaceminusone #kwondo1 #nike https://t.co/mF6SKnfqcN","['GDRAGON', 'peaceminusone', 'kwondo1', 'nike']"
39,misoji_oyaji,NIKEやJORDAN などのスニーカーや服を集めてます👕売りますなどタグ付けしてもらったらRTします😎スニーカーの発売情報、リス情報やファッションの事などブログ書いてます✏️#ファッション #スニーカー #Jordan #NIKE #FTC #HUF #Helas #ButterGoods,,441,477,4178,0,"【 NIKE AIR JORDAN 1 LOW 】

#スニーカー #発売情報 #ナイキ #ジョーダン #NIKE #JORDAN #LOW
https://t.co/WgnABlpORn","['スニーカー', '発売情報', 'ナイキ', 'ジョーダン', 'NIKE', 'JORDAN', 'LOW']"
40,lettersforgd,@IBGDRGN 's soulmate ༺♡︎༻ #권지용 #GDRAGON #BIGBANG #BIEBER #SELENA #DYLANOBRIEN,kjy || 070122,133,41,2151,11,"𝒯𝒽𝒶𝓃𝓀𝓈 🐲🅿️♏️🅾️

#KIIIONDO
#KWONDO1
#PEACEMINUSONE
#NIKE https://t.co/tw3RCOr6oz","['KIIIONDO', 'KWONDO1', 'PEACEMINUSONE', 'NIKE']"
41,RunningWithTum1,#RunningWithTumiSole Created by @tumisole for BoMgijimi! ‘Put your Sole in it’ @runningwithtumisole on IG,,6380,7837,102323,5,"Get off... the couch/bed ubangene🏃‍♀️🏃‍♀️
#TheStreetAreCalling #IChoose2BActive 
#IPaintedMyRun #FetchYourBody2022 
#RunningWithTumiSole #Nike https://t.co/euRJqgOtji","['TheStreetAreCalling', 'IChoose2BActive', 'IPaintedMyRun', 'FetchYourBody2022']"
42,nicolasadler,"Mummy to a munchkin. Love reading, cooking, dining out & gaming. My family mean the world to me. Huge fan of Alan Partridge. Knower of knows. Knower of nothing.",,4984,994,114709,160,"⚡GIVEAWAY TIME⚡Win a £100 voucher to spend at Nike.

To Enter:
1️⃣Follow: 
@captaincreps @ladycreps &amp; @captainthreads
2️⃣Like this tweet.
3️⃣Retweet.

Winner picked at random from all entries on the 14th July #nike #Giveaways #win 

Good Luck! https://t.co/PtyMWqWtEm",[]
43,4yG7hvDpkwSWg9T,,,92,1109,79765,77,"#Nike quits #Russian  market completely💥
Companies have announced to suspend/withdraw their business in Russia, including #McDonald #CocaCola #Starbucks #Decathlon #Uniqlo parent company Fast Retailing #IKEA #Apple #IBM #Ford #Boeing and even #Visa #MasterCard, etc.","['Nike', 'Russian']"
44,NinjaV3rse,Ape in #Web3. Trying to bring people to use new technology.,"New York, USA",792,1477,564,7,"@Nike is potentially getting into Gaming NFTs.

-The world's ""first NFT console"" @Polium__ was announced with a planned release date of 2024.
Nike is looking to get its name attached to NFTs and the video game world.

#ccubed #PoliumOne #NFTs #nike 
https://t.co/WNVDEYts1y",[]
45,ninikyu_07,"Junkyu ❤️💎
Baby koala 🐨❤️
It's Beautiful life 🎶
Treasure 💎
Treasure map ❤️
YGTB ❤️❤️💎
BIGBANG 👑
G-Dragon 👑👑",,249,88,11070,34,but the shoes look like paranoise? but with black base #GDRAGON #NIKE https://t.co/WqFVEWEAAR,"['GDRAGON', 'NIKE']"
46,Earthboundqu,Jesus is my redeemer 💚😇💛,,7435,6875,267,1,Nice job got a lot of info on your tweet about who to boycott the devil satanistic people are worshipping the devil satanistic temple rituals 🔥😈🐍👿🔥⬇️🕳️⬇️🤡👹🤡🐍😈🔥 #nike #disney #starbucks #google #apple and then the other #babyKillers #antiGOD please send them all to hell https://t.co/bw0BehREmZ,[]
47,garyGeisthvel9,,,5,0,184,48,"🥇 @wos_club is the First 3D Sharks #NFT Collection

|Partnership with @seashepherd 
|Design Studio working with #Nike and #Dior 
|Holders 💲💲

Like + RT + Tag 3 Friends

🔥JOIN 👉 https://t.co/sCufcwvWqt

#NFTs #opensea #3DNFT #UpcomingNFT  #WOSClub #WOSSharks #EthereumSharks https://t.co/MY6cN3j6Cy","['NFT', 'Nike']"
48,swagafiedkicks,,,41,1107,153597,1,"how about this color
#nike #AirJordan #basketball #shoes https://t.co/OtSO20SLiK","['nike', 'AirJordan', 'basketball', 'shoes']"
49,swagafiedkicks,,,41,1107,153597,1,"#football #soccer #nfl #sports #futbol #fifa #sport #premierleague #messi #calcio #championsleague #ronaldo #cr #seriea #like #follow #futebol #basketball #love #bhfyp #realmadrid #laliga #nike #footballplayer #1xbet #barcelona

❌CLİCK HERE❌
🔻🔻👇🔻🔻

https://t.co/GuMkEc2IDC https://t.co/GDxzAkVViN","['football', 'soccer', 'nfl', 'sports', 'futbol', 'fifa', 'sport', 'premierleague', 'messi', 'calcio', 'championsleague', 'ronaldo', 'cr', 'seriea']"
50,rumieko,"Novelist, G Dragon, GDTOP fans
https://t.co/EX6il8PGgR https://t.co/BgICJ9EwBw","DKI Jakarta, Indonesia",866,3312,35494,11,"𝒯𝒽𝒶𝓃𝓀𝓈 🐲🅿️♏️🅾️

#KIIIONDO
#KWONDO1
#PEACEMINUSONE
#NIKE https://t.co/tw3RCOr6oz","['KIIIONDO', 'KWONDO1', 'PEACEMINUSONE', 'NIKE']"
51,PHBJAMES,U never know until u insisted,"Taipei City, Taiwan",784,451,830,7,"@Nike is potentially getting into Gaming NFTs.

-The world's ""first NFT console"" @Polium__ was announced with a planned release date of 2024.
Nike is looking to get its name attached to NFTs and the video game world.

#ccubed #PoliumOne #NFTs #nike 
https://t.co/WNVDEYts1y",[]
52,sweetsistersgf,,,221,75,12961,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @SQSQallday #poshmark #fashion #style #shopmycloset #nike #handcrafted: https://t.co/g6hjiMQaXy https://t.co/owxG1OAdgD,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'handcrafted']"
53,michael_labit,,,101,43,279,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @HxBLO #poshmark #fashion #style #shopmycloset #ewing33hi #nike: https://t.co/QIJb3jbFnH https://t.co/b4XJgYI3PM,"['poshmark', 'fashion', 'style', 'shopmycloset', 'ewing33hi', 'nike']"
54,DeadLaced,SNEAKER DEALS & RELEASE LINKS + FASHION DEALS Notifications on 🔔 #Nike #Jordan #Snkrs #Adidas #Puma #Newbalance,"New Jersey, USA",1594,47377,41428,0,"NIKE BLAZER LOW '77 JUMBO
#nike #AD 

   -- &gt; https://t.co/0e5PO0zwdd https://t.co/K4hDKWkDac","['nike', 'AD']"
55,mpascal93,"4th grade teacher 🍎🍏
Kansas 🌻🌻
Bachelors in Elementary Education 
Masters in Special Education","Kansas, USA",93,19,23,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #harleydavidson #torrid #nike: https://t.co/JD3Eysv1bQ https://t.co/YoNvXr60L9,"['poshmark', 'fashion', 'style', 'shopmycloset', 'harleydavidson', 'torrid', 'nike']"
56,LotusandLanier,"Fashion Reseller Poshmark, Mercari, Ebay, Amazon","San Diego, CA",128,111,7746,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #markfarrel #kutfromthekloth: https://t.co/omW7uvh26C https://t.co/R1ZDdxd6EC,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'markfarrel', 'kutfromthekloth']"
57,bazilchuck,,,0,3,2538,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #hayabusa #jbrand #nike: https://t.co/QAnyOUU59a https://t.co/jxLjYpmhXH,"['poshmark', 'fashion', 'style', 'shopmycloset', 'hayabusa', 'jbrand', 'nike']"
58,TGlockl,Dream as if you can live forever. Live as if you only have today.,"Toledo, Iowa",411,113,727,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #marilynmonroe #longaberger: https://t.co/e6dFLN6oH0 https://t.co/tyTb3xLVKM,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'marilynmonroe', 'longaberger']"
59,tumisole,Corporate Mmeli| #CountryDuty |RTs not endorsement| #RunningWithTumiSole |#MG200Young |Team @fordsouthafrica 24/7|tumisole@tumisole.com,"Johannesburg, South Africa",50480,782797,347215,5,"Get off... the couch/bed ubangene🏃‍♀️🏃‍♀️
#TheStreetAreCalling #IChoose2BActive 
#IPaintedMyRun #FetchYourBody2022 
#RunningWithTumiSole #Nike https://t.co/euRJqgOtji","['TheStreetAreCalling', 'IChoose2BActive', 'IPaintedMyRun', 'FetchYourBody2022']"
60,Sousa121090,Check out my music page. 🎶🎤,NH,146,41,1483,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #johnnywas #nike #gaiam: https://t.co/JJRZBQs0Ot https://t.co/01EDZRQToL,"['poshmark', 'fashion', 'style', 'shopmycloset', 'johnnywas', 'nike', 'gaiam']"
61,79Alanis,,,5,19,8183,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #hollister #nike: https://t.co/Ea3Rk7b7Jw https://t.co/C5lZlABwyd,"['poshmark', 'fashion', 'style', 'shopmycloset', 'hollister', 'nike']"
62,tmillr4,I’m a busy working Mom with loads of hobbies.,United States,1152,242,24608,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @rsoopasta #poshmark #fashion #style #shopmycloset #apostrophe #nike: https://t.co/IsdsL0yNEQ https://t.co/bvfcMXHrcz,"['poshmark', 'fashion', 'style', 'shopmycloset', 'apostrophe', 'nike']"
63,mamakins3,"Mama to 2 beautiful daughters seeking out quality pieces, brand new & gently worm. From my closet to yours! See what's new at https://t.co/98Y0oeSQNr .",,79,48,1890,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #lillypulitzer #towncraft: https://t.co/Zxkm05tdVo https://t.co/J8UtSPhAXI,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'lillypulitzer', 'towncraft']"
64,Gale79776286,,,64,64,5222,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #disney: https://t.co/MmrhQiCbRz https://t.co/xEp13K8bRi,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'disney']"
65,WalserTara,,,1,2,194,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @BossBabeBeauty2 #poshmark #fashion #style #shopmycloset #drmartens #nike #blanknyc: https://t.co/B3Loi07oX9 https://t.co/FxJrdxo6Qk,"['poshmark', 'fashion', 'style', 'shopmycloset', 'drmartens', 'nike', 'blanknyc']"
66,rayleger1,"Helping families earn more income, become properly protected, debt free and financially independent",,148,30,438,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #freepeople: https://t.co/Gnx5eQRKIz https://t.co/OpigZPTopQ,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'freepeople']"
67,pradeep_G89,I am Entrepreneur,"Erode, India",1974,18,336,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #adidas #indivi: https://t.co/N4ikaHI6sY https://t.co/4I2DVtX96R,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'adidas', 'indivi']"
68,nyongdalxx,"𝑰 𝒔𝒕𝒂𝒏 𝑫𝑨𝑹𝑨𝑮𝑶𝑵! ♡
Sandara Park ▪️Kwon Jiyong ▪️BLACKJACK ▪️VIP ▪️2NE1 ▪️BIGBANG",,178,32,8319,34,but the shoes look like paranoise? but with black base #GDRAGON #NIKE https://t.co/WqFVEWEAAR,"['GDRAGON', 'NIKE']"
69,FitMasi,🔮 Xhosa 🏡 Ngqeleni EC 🎓3X Graduate 💼 Public Relations 🏋️‍♀️ Fitness Freak 🏃🏽‍♀️Runner 🔩Ambassador: @THRESHHoldSA 🏋🏼‍♀️Part of: @IChoose2BActive,"Durban, South Africa",9787,75458,65580,5,"Get off... the couch/bed ubangene🏃‍♀️🏃‍♀️
#TheStreetAreCalling #IChoose2BActive 
#IPaintedMyRun #FetchYourBody2022 
#RunningWithTumiSole #Nike https://t.co/euRJqgOtji","['TheStreetAreCalling', 'IChoose2BActive', 'IPaintedMyRun', 'FetchYourBody2022']"
70,KurtCob10385926,,,338,39,1048,1,"NFT News 👇

RTFKT has announced new benefits for owning its CloneX NFT.
@RTFKT 

#RTFKT #CloneX #Nike #NFT #Metaverse https://t.co/fmR7V145Lp","['RTFKT', 'CloneX', 'Nike', 'NFT', 'Metaverse']"
