Unnamed: 0,Name,City,Address,Phone Number,Venue Type,Capacity,Amenities
107,Mexican Sugar – Las Colinas,Irving,"Eastside, Freeport/Hackberry","3215 Regent Blvd 
Irving, TX 75063, US",Restaurant, ,A/V Equipment
108,Hearth and Hill,Park City,,"1153 Center Drive 
Park City, UT 84098, US","Restaurant, Event Space, Catering", ,A/V Equipment
109,Cane Rosso Fort Worth,Fort Worth,,"815 West Magnolia Ave 
Fort Worth, TX 76104, US",Restaurant, ,Full Bar
110,Flight Club Darts Chicago,Chicago,,"111 West Wacker Drive 
Chicago, IL 60601, US","Event Space, Arcade, Entertainment, Unique",Standing: 500,Flexible Floor Plan
111,Ronin Art House,Houston,"Downtown, Spring Branch","806  Richey Street 
Houston, TX 77002, US",,Seated: 60,A/V Equipment
112,Carroll Place,"New York, Manhattan","Greenwich Village, Steinway, Red Hook, Manhattan","157 Bleecker Street 
New York, NY 10012, US","Restaurant, Event Space, Wedding Venue, Cocktail Lounge, Entertainment, Night Club",Standing: 350,A/V Equipment
113,Cafe Napoli / Bar Napoli,Clayton,,"7754 Forsyth Blvd. 
Clayton, MO 63105, US",Restaurant, ,Full Bar
114,Mercadito River North,Chicago,River North,"108  West Kinzie Street 
Chicago, IL 60654, US",,Seated: 178, 
115,Macaroni Grill Waikoloa,Waikoloa,,"201 Waikoloa Beach Drive 
Waikoloa, HI 96738, US",Restaurant,Seated: 240,Bar Packages
116,VariSpace Las Colinas,Irving,"Eastside, Cottonwood","901 W Walnut Hill Ln 
Irving, TX 75038, US",Event Space, ,A/V Equipment
117,Dilworth Neighborhood Grill,Charlotte,Dilworth,"911  East Morehead Street 
Charlotte, NC 28204, US",,Seated: 400,Business Center
118,Macaroni Grill Plano,Plano,In-House Catering,"5005 W Park Blvd. 
Plano, TX 75093, US",, , 
119,Macaroni Grill Plano,Plano,,"5005 W Park Blvd. 
Plano, TX 75093, US",Restaurant,Seated: 80,A/V Equipment
120,Hawksworth Restaurant,Vancouver,,"801 West Georgia Street 
Vancouver, BC V6C 1P7, CA","Restaurant, Hotel", , 
121,Topgolf Fort Worth,Fort Worth,"Eastside, Northeast","2201  East 4th Street 
Fort Worth, TX 76102, US","Event Space, Other, Unique",Seated: 1, 
122,The Carbon Bar,Toronto,,"99 Queen Street East 
Toronto, ON M5C 1S1, CA","Restaurant, Bar", ,Chef's Table
123,The District Tap Northside,Indianapolis,,"3720 E. 82nd Street  
Indianapolis, IN 46240, US",Restaurant, , 
124,Fifth Arrow,San Francisco,Downtown,"430 Mason Street 
San Francisco, CA 94102, US","Restaurant, Event Space, Other, Arcade, Bowling, Cocktail Lounge, Entertainment, Night Club, Unique", ,A/V Equipment
125,Harry & Izzy's - Northside,Indianapolis,In-House Catering,"4050 East 82nd Street Indianapolis, IN 46250 
Indianapolis, IN 46250, US",,Seated: 80, 
126,Kings Dining & Entertainment - North Hills,Raleigh,Falls Of Neuse,"141 Park at North Hills St 
Raleigh, NC 27609, US","Restaurant, Bowling", ,A/V Equipment
127,Ruth's Chris Steak House - Raleigh-North Hills,Raleigh,Six Forks,"4381 Lassiter at North Hills Ave 
Raleigh, NC 27609, US",Restaurant, , 
128,JohnColins,San Francisco,"Financial District, Yerba Buena","138  Minna Street 
San Francisco, CA 94105, US",,Seated: 143,A/V Equipment
129,The Smith Lincoln Square,"New York, Manhattan","Steinway, Upper West Side, Manhattan","1900 Broadway 
New York, NY 10023, US",, , 
130,Macaroni Grill Cerritos,Cerritos,,"12875 Towne Center Dr. 
Cerritos, CA 90703, US",Restaurant,Seated: 260,A/V Equipment
131,Esports Stadium Arlington,Arlington,"East, Eastside","1200  Ballpark Way 
Arlington, TX 76011, US",,Seated: 2500,A/V Equipment
132,Macaroni Grill Cerritos,Cerritos,In-House Catering,"12875 Towne Center Dr. 
Cerritos, CA 90703, US",, , 
133,Macaroni Grill Montrose,Akron,In-House Catering,"41 Springside Dr. 
Akron, OH 44333, US",,Minimum Guests: 15, 
134,The Bath Club,Miami Beach,,"5937 Collins Avenue 
Miami Beach, FL 33140, US",, , 
135,Harkins Theatres - Northfield 18,Denver,Stapleton,"8300 E. Northfield Blvd. 
Denver, CO 80238, US",Theatre, , 
136,Elizabeth St. Café,Austin,Bouldin,"1503 South 1st Street 
Austin, TX 78704, US","Restaurant, Event Space", , 
137,Tin Roof Indianapolis,Indianapolis,Downtown,"36 S Pennsylvania St.     
Indianapolis, IN 46204, US",, , 
138,Macaroni Grill Fresno,Fresno,Woodward Park,"7650 N Blackstone Ave. 
Fresno, CA 93720, US",, , 
139,Northeast Seafood Kitchen,Ocean View,,"29 Atlantic Avenue 
Ocean View, DE 19970, US",Restaurant, ,Full Bar
140,Macaroni Grill Montrose,Akron,,"41 Springside Dr. 
Akron, OH 44333, US",Restaurant,Seated: 120,Bar Packages
141,MJ O'Connor's Seaport,Boston,South Boston,"425 Summer Street 
Boston, MA 02210, US",Restaurant, , 
142,Macaroni Grill S. Colorado Springs,Colorado Springs,"Powers, Southeast Colorado Springs","2510 Tenderfoot Hill St. 
Colorado Springs, CO 80906, US",Restaurant,Seated: 200,A/V Equipment
143,HG Sply Co. Fort Worth,Fort Worth,"Arlington Heights, Eastside","1621 River Run #176 
Fort Worth, TX 76107, US",Restaurant, , 
144,Macaroni Grill Livonia,Livonia,,"39300 7 Mile Rd. 
Livonia, MI 48152, US",,Seated: 25,Handicap Accessible
145,Macaroni Grill Winter Garden,Winter Garden,,"3143 Daniels Rd. 
Winter Garden, FL 34787, US",Restaurant,Seated: 200,Bar Packages
146,Isalita Cantina,Ann Arbor,,"341 East Liberty Street 
Ann Arbor, MI 48104, US",, , 
147,The Collin Club,Corsicana,,"211  West Collin Street 
Corsicana, TX 75110, US","Event Space, Unique",Seated: 1, 
148,Commonwealth Cambridge,Cambridge,East Cambridge,"11 Broad Canal Way 
Cambridge, MA 02142, US","Restaurant, Catering", , 
149,Bar Cargo,Chicago,River North,"605 N. Wells Street 
Chicago, IL 60654, US",Restaurant, ,Patio
150,Macaroni Grill Winter Garden,Winter Garden,,"3143 Daniels Rd. 
Winter Garden, FL 34787, US",,Minimum Guests: 15, 
151,Gather Venues - North,Austin,Brentwood,"5540  North Lamar Boulevard 
Austin, TX 78756, US",,Seated: 220,A/V Equipment
152,Great Northern Food Hall,"New York, Manhattan","Midtown, Steinway, Red Hook, Manhattan","89 East 42nd Street 
New York, NY 10017, US",,Seated: 40,Handicap Accessible
153,Magnolia Events at Delaware Park Marcy Casino,Buffalo,Albright,"199 Lincoln Pkwy 
Buffalo, NY 14222, US","Restaurant, Event Space, Catering, Unique",Seated: 50,Bar Packages
154,Broken English Taco Pub | Lincoln Park,Chicago,"Lincoln Park, Wrightwood Neighbors","2576 N. Lincoln Avenue 
Chicago, IL 60614, US",Restaurant, , 
155,Macaroni Grill S. Colorado Springs,Colorado Springs,"Powers, Southeast Colorado Springs","2510 Tenderfoot Hill St. 
Colorado Springs, CO 80906, US",, , 
156,Dick's Last Resort - Indianapolis,Indianapolis,In-House Catering,"111 West Maryland Street 
Indianapolis, IN 46225, US",, ,Handicap Accessible
157,Macaroni Grill Reno,Reno,"South Central, South Reno","5505 S Virginia St. 
Reno, NV 89502, US",, , 
158,Macaroni Grill Reno,Reno,"South Central, South Reno","5505 S Virginia St. 
Reno, NV 89502, US",Restaurant,Seated: 200,A/V Equipment
159,The Magnolia Room,Decatur,,"216 Moulton St E 
Decatur, AL 35601, US",Event Space, ,Dance Floor
160,The Norton Museum of Art,West Palm Beach,Mango Promenade,"1450 South Dixie Highway 
West Palm Beach, FL 33401, US","Restaurant, Event Space, Wedding Venue, Unique", , 
161,The Magnolia,DUBUQUE,,"168 East 10th Street 
DUBUQUE, IA 52001, US","Event Space, Conference Center, Wedding Venue, Unique", ,A/V Equipment
162,Arte Cafe,New York,,"106 West 73rd Street 
New York, NY 10023, US",Restaurant, , 
163,UNO Pizzeria & Grill - NORTHEAST 01,Providence,,"82 Providence Place 
Providence, RI 02903, US",, , 
164,Saxon+Parole,"New York, Manhattan","Greenwich Village, Steinway, Red Hook, Manhattan, NoHo","316 Bowery 
New York, NY 10012, US",Restaurant, ,Full Bar
165,Miguel's Cocina Carlsbad,Carlsbad,In-House Catering,"5980 Avenida Encinas 
Carlsbad, CA 92008, US",Restaurant,Minimum Guests: 0,A/V Equipment
166,The Grand Marlin-Pensacola,Gulf Breeze,,"400 Pensacola Beach Boulevard 
Gulf Breeze, FL 32561, US","Restaurant, Event Space, Wedding Venue", , 
167,Avec ~ River North,Chicago,River North,"141 West Erie Street 
Chicago, IL 60654, US",Restaurant, ,A/V Equipment
168,Northern Maverick Brewing Company,Toronto,,"115 Bathurst Street 
Toronto, ON M5V 2R1, CA",, ,A/V Equipment
169,101 South College,Waxahachie,,"101 S College Street 
Waxahachie, TX 75165, US","Event Space, Unique", , 
170,Barolo Grill,Denver,Cherry Creek,"3030  East 6th Avenue 
Denver, CO 80206, US",,Seated: 80, 
171,French Creek Manor,"Snohomish, Everett, Monroe",Outside Catering Allowed,"9931 167th Avenue Southeast 
Snohomish, WA 98290, US","Event Space, Bar, Banquet Hall, Other, Meeting Space, Conference Center, Wedding Venue, Catering, Cocktail Lounge, Entertainment, Night Club, Food Hall, Unique",Seated: 250, 
172,Macaroni Grill Redlands,Redlands,,"27490 W Lugonia Ave. 
Redlands, CA 92374, US",Restaurant,Seated: 265,Bar Packages
173,Macaroni Grill Tustin,Tustin,,"13652 Jamboree Rd. 
Tustin, CA 92602, US",, , 
174,Macaroni Grill Oviedo,Oviedo,In-House Catering,"7123 Red Bug Lake Rd. 
Oviedo, FL 32765, US",,Minimum Guests: 15, 
175,Old Fourth Distillery,Atlanta,"Old Fourth Ward, Sweet Auburn","487  Edgewood Avenue Southeast 
Atlanta, GA 30312, US",,Seated: 30,A/V Equipment
176,Beatrix - River North,Chicago,"River North, Near North","519 North Clark Street 
Chicago, IL 60654, US",Restaurant, , 
177,Dublin Calling Vancouver,Vancouver,,"900 Granville St 
Vancouver, BC V6Z 1L2, CA","Restaurant, Event Space", ,A/V Equipment
178,Macaroni Grill Harrisburg,Harrisburg,,"2531 Brindle Dr. 
Harrisburg, PA 17110, US",Restaurant,Seated: 235,Bar Packages
179,Hickory Tavern Carrboro,Chapel Hill,In-House Catering,"370  East Main Street 
Chapel Hill, NC 27516, US",,Seated: 70, 
180,Macaroni Grill Cedar Hill,Cedar Hill,,"388 N Highway 67 
Cedar Hill, TX 75104, US",,Seated: 40,Handicap Accessible
181,Clutch Bar Chicago,Chicago,River North,"316 W Erie 
Chicago, IL 60654, US",, , 
182,Cafe Carmo,New Orleans,Central Business District,"527 Julia Street 
New Orleans, LA 70130, US",,Minimum Guests: 1600,Handicap Accessible
183,Cafe Carmo,New Orleans,Central Business District,"527 Julia Street 
New Orleans, LA 70130, US",,Minimum Guests: 1600,Handicap Accessible
184,Macaroni Grill El Cerrito,El Cerrito,,"8000 El Cerrito Blvd. 
El Cerrito, CA 94530, US",Restaurant,Seated: 200,Bar Packages
185,106 - CRAVE Minneapolis,Minneapolis,Downtown West,"825 Hennepin Avenue 
Minneapolis, MN 55402, US","Restaurant, Event Space", ,A/V Equipment
186,Macaroni Grill Las Vegas - Summerlin,Las Vegas,"Michael Way, Sheep Mountain","2001 N Rainbow Blvd. 
Las Vegas, NV 89108, US",, , 
187,Pinstripes - Fort Worth,Fort Worth,"Tcu-West Cliff, Overton Woods","5001 Trailhead Bend Way  
Fort Worth, TX 76109, US","Entertainment, Unique", , 
188,Monarch Club,Nipomo,,"1645 Trilogy Parkway 
Nipomo, CA 93444, US","Wedding Venue, Golf Course", , 
189,The Carter Payne,Colorado Springs,"Powers, Southeast Colorado Springs, Central Colorado Springs","320 S Weber St. 
Colorado Springs, CO 80903, US",, , 
190,Easy Tiger North,Austin,"Saint Johns, St. Johns","6406 N IH35 
Austin, TX 78752, US",, , 
191,Macaroni Grill Las Vegas - Summerlin,Las Vegas,"Michael Way, Sheep Mountain","2001 N Rainbow Blvd. 
Las Vegas, NV 89108, US",Restaurant,Seated: 200,Bar Packages
192,Smith & Wollensky Chicago,Chicago,"River North, Near North","318 North State Street 
Chicago, IL 60654, US",Restaurant,Standing: 600, 
193,Fig & Olive - Chicago,Chicago,"River North, Gold Coast","104 East Oak Street 
Chicago, IL 60611, US",Restaurant, , 
194,UNO Pizzeria & Grill - Northeast 02,Boston,"Central, Downtown Crossing","52 Summer Street 
Boston, MA 02110, US","Restaurant, Event Space, Other, Catering, Cocktail Lounge",Seated: 20,A/V Equipment
195,Buca di Beppo Indianapolis,Indianapolis,Downtown,"35 North Illinois Street 
Indianapolis, IN 46204, US",Restaurant, , 
196,Earl of Sandwich - Planet Hollywood Resort & Casino,Las Vegas,,"Planet Hollywood Resort & Casino 
Las Vegas, NV 89109, US",, , 
